;******** project props
sign_two_one,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			150.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_carwash,		30.0,	    50.0		0.99,		0.05,		50.0,		100.0,   1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			115.0, 	0.0, 	50.0, 	0.1, 	0.07,	1,	0
sign_crosswalk1,	30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			115.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_crosswalk2,	30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_crosswalk3,	30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_curve1,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_curve2,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_hospital,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_left1,		    30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_left2,		    30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_left3,		    30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_litter1,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_litter2,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
